source_country,correct_country,county,count
?,,,1
??????,,,1
AFGHANISTAN,,,1
AFRICA,,,8
"ALGARVE, PORTUGAL",PORTUGAL,,1
ALGERIA,,,9
AMSTERDAM,NETHERLANDS,,1
ANDORA,ANDORRA,,1
ANDORRA,,,19
ANGOLA,,,18
ANGUILLA,,,16
ANTIGUA,ANTIGUA AND BARBUDA,,11
ANTIGUA & BARBUDA,ANTIGUA AND BARBUDA,,4
ANTIGUA AND BARBUDA,,,1
ARGENTINA,,,12
ARUBA,,,1
ASCENSION ISLAND,,,1
ASIA,,,2
ASUNCION,ASCENSION ISLAND,,1
ATHENS,GREECE,,1
ATIGUA,ANTIGUA AND BARBUDA,,1
AUSTRAILIA,AUSTRALIA,,1
AUSTRALIA,,,394
AUSTRALIA 3122,AUSTRALIA,,1
AUSTRALIA 4171,AUSTRALIA,,2
AUSTRIA,,,235
AUSTRIALIA,AUSTRALIA,,2
AUSTRLAIA,AUSTRALIA,,2
B.V.I.,BRITISH VIRGIN ISLANDS,,2
BAHAMAS,,,27
BAHAMAS.,BAHAMAS,,1
BAHRAIN,,,4
BANGKOK,THAILAND,,16
BANGLADESH,,,2
BARBADOS,,,6
BB6 8AN,UNITED KINGDOM,,1
BELGIUM,,,502
BELGUIM,BELGIUM,,2
BELIZE,,,23
BERMUDA,,,52
BFPO,,,1
BH19 3LW,UNITED KINGDOM,,1
BH21 1UT,UNITED KINGDOM,,1
BH22 0LH,UNITED KINGDOM,,1
BN10 7NL,UNITED KINGDOM,,1
BN16 4JJ,UNITED KINGDOM,,1
BOSNIA & HERZEGOVINA,,,1
BOTSWANA,,,1
BRAZIL,,,31
BRISTOL,UNITED KINGDOM,,2
BRITAIN,UNITED KINGDOM,,3
BRITISH ANGUILLA,,,1
BRITISH ISLES,UNITED KINGDOM,,38
"BRITISH ISLES, UK",UNITED KINGDOM,,1
BRITISH VIGIN ISLANDS,BRITISH VIRGIN ISLANDS,,1
BRITISH VIRGIN ISLAND,BRITISH VIRGIN ISLANDS,,1
BRITISH VIRGIN ISLANDS,,,357
BRITISH VIRGIN ISLES,BRITISH VIRGIN ISLANDS,,2
BRITISH VIRGIN SLANDS,BRITISH VIRGIN ISLANDS,,2
BRITISH WEST INDIES,,,16
BRUGGE,BELGIUM,,1
BRUNEI,,,3
BUCKS,UNITED KINGDOM,,1
BULGARIA,,,10
BVI,BRITISH VIRGIN ISLANDS,,192
BWI,,,7
Bailiwick of Guernsey,,,1
Belgium,BELGIUM,,1
British Virgin Islands,BRITISH VIRGIN ISLANDS,,1
British West Indies,,,1
CAHNNEL ISLANDS,CHANNEL ISLANDS,,1
CAMAN ISLANDS,CAYMAN ISALNDS,,1
CAMEROUN,CAMEROON,,1
CANADA,,,143
CANANDA,CANADA,,1
"CANARIAS, SPAIN",SPAIN,CANARY ISLANDS,1
CANARY ISLANDS,SPAIN,CANARY ISLANDS,3
"CANARY ISLANDS, SPAIN",SPAIN,CANARY ISLANDS,1
CAPE VERDE,,,1
CAPE VERDES,CAPE VERDE,,1
